,Text
511,Covering the primary data modalities in medical image analysis it is dse on data scale (from 100 to 100000) and tasks (binary/multi-class ordinal regression and multi-label)
512,MedMNIST could be used for educational purpose rapid prototyping multi-modal machlearning or AutoML in medical image analysis
513,Moreover MedMNIST Classification Decathlon is designed to benchmark AutoML algorithms on all 10 datasets; We have compared several baselmethods including open-source or commercial AutoML tools
514,"The datasets evaluation code and baselmethods for MedMNIST are publicly available at https://medmnist.github.io/.
"
515,DEAL: Deep Evtial ActLearning for Image Classification: Convolutional Neural Networks (CNNs) have proven to be state-of-the-art models for superv computer vision tasks such as image classification
516,However large labeled data sets arnerally needed for the training and validation of such models
517,In many domains unlabeled data is available but labeling pensfor instance when specifpert knowl is requ
518,ActLearning (AL) is one approach to mitigate the problem of lim labeled data
519,Through selecting the most informatand representatdata instances for labeling AL can contribute to more efficient learning of the model
520,Recent AL methods for CNNs propose different solutions for the selection of instances to be labeled
521,However they do not perform consistently well and are often computationally expens In this paper we propose a novel AL algorithm that efficiently learns from unlabeled data by capturing high prediction uncertainty
522,By replacing the softmax standard output of a CNN with the parameters of a Dirichlet density the model learns to tify data instances that contribute efficiently to improving model performance during training
523,We demonstrate in several experts with publicly available data that our method consistently outperforms other state-of-the-art AL approaches
524,It can be easily implemented and does not requextenscomputational resources for training
525,"Additionally we are able to show the benefits of the approach on a real-world medical use case in the field of automated detection of visual signals for pneumonia on chest radiographs.
"
526,Trading via Image Classification: The art of systematic financial trading evolved with an array of approaches ranging from simple strategies to complex algorithms all relying primary on aspects of tseries analysis
527,Recently after visiting the trading floor of a leading financial institution we not that traders always execute their trade orders whobserving images of financial tseries on their screens
528,In this work we built upon the success in image recognition and examthe value in transforming the traditional tseries analysis to that of image classification
529,We create a large sample of financial tseries images encoded as candlestick (Box and Whisker) charts and label the samples following three algebraically-def binary trade strategies
530,Using the images we train over a dozen machlearning classification models and find that the algorithms are very efficient in recovering the complicated multiscale label-generating rules when the data is represented visually
531,"We suggest that the transformation of continuous numeric tseries classification problem to a vision problem is useful for recovering signals typical of technical analysis.
"
532,Structural Prior Dr Regular Deep Learning for Sonar Image Classification: Deep learning has been recently shown to improve performance in the domain of synthetic aperture sonar (SAS) image classification
533,G the constant resolution with range of a SAS it is no surprthat deep learning techniques perform so well
534,Despdeep learning's recent success there are still compelling open challs in reducing the high false alarm rate and enabling success when training imagery is lim which is a practical chall that distinguishes the SAS classification problem from standard image classification set-ups where training imagery may be abundant
535,We address these challs by exploiting prior knowl that humans use to grasp the scene
536,These include unconscious elimination of the image speckle and localization of objects in the scene
537,We introduce a new deep learning archture which incorporates these priors with thal of improving automatic target recognition (ATR) from SAS imagery
538,Our proposal -- called SPDRDL Structural Prior Dr Regular Deep Learning -- incorporates the previously mentioned priors in a multi-task convolutional neural network (CNN) and requ no additional training data when compared to traditional SAS ATR methods
539,Two structural priors are enforced via regularization terms in the learning of the network: (1) structural similarity prior -- enhanced imagery (often through despeckling) aids human interpretation and is semantically similar to the original imagery and (2) structural scene context priors -- learned features lly encapsulate target centering information; hence learning may be enhanced via a regularization that encourages fity against known ground truth target shifts (relattarget position from scene center)
540,"Experts on a challng real-world dataset reveal that SPDRDL outperforms state-of-the-art deep learning and other competing methods for SAS image classification.
"
541,Fusion of Dual Spatial Information for Hyperspectral Image Classification: The inclusion of spatial information into spectral classifiers for fresolution hyperspectral imagery has led to significant improvements in terms of classification performance
542,The task of spectral-spatial hyperspectral image classification has rema challng because of high intraclass spectrum variability and low interclass spectral variability
543,This fact has made the extraction of spatial information highly act In this work a novel hyperspectral image classification framework using the fusion of dual spatial information is proposed in which the dual spatial information is built by both exploiting pre-processing feature extraction and post-processing spatial optimization
544,In the feature extraction stage an adapttexture smoothing method is proposed to construct the structural prof(SP) which makes it possible to precy extract discriminatfeatures from hyperspectral images
545,The SP extraction method is used here for the first tin the remote sensing community
546,Then the extracted SP is fed into a spectral classifier
547,In the spatial optimization stage a p-level classifier is used to obtain the class probability followed by an extended random walker-based spatial optimization technique
548,Finally a decision fusion rule is util to fuse the class probabilities obta by the two different stages
549,Experts performed on three data sets from different scenes illustrate that the proposed method can outperform other state-of-the-art classification techniques
550,"In addition the proposed feature extraction method  SP can effecty improve the discrimination between different land covers.
"
551,Effecttraining of deep convolutional neural networks for hyperspectral image classification through artificial labeling: Hyperspectral imaging is a rich source of data allowing for multitude of effectapplications
552,However such imaging remains challng because of large data dsion and typically small pool of available training examples
553,Whdeep learning approaches have been shown to be successful in providing effectclassification solutions especially for high dsional problems unfortunately they work best with a lot of labelled examples available
554,To alleviate the second requent for a particular dataset the transfer learning approach can be used: first the network is pre-tra on some dataset with large amount of training labels available then the actual dataset is used to ftune the network
555,This strategy is not straightforward to apply with hyperspectral images as it is often the case that only one particular image of some type or characteristic is available
556,In this paper we propose and investigate a simple and effectstrategy of transfer learning that uses unsuperv pre-training step without label information
557,This approach can be applied to many of the hyperspectral classification problems
558,Performed experts show that it is very effectat improving the classification accuracy without being restricted to a particular image type or neural network archture
559,The experts were carried out on several deep neural network archtures and various s of labeled training sets
560,Theatest improvement in overall accuracy on the Indian P and Pavia Unsity datasets is over 21 and 13 percentage points respecty
561,"An additional advantage of the proposed approach is the unsuperv nature of the pre-training step which can be done immediately after image acquisition without the need of the potentially costly expert's t
"
562,Deep Low-Shot Learning for Biological Image Classification and Visualization from Lim Training Samples: Predictmodeling is useful but very challng in biological image analysis due to the high cost of obtaining and labeling training data
563,For example in the study of gene interaction and regulation in Drosophila embryogenesis the analysis is most biologically meaningful when in situ hybridization (ISH) gene expression pattern images from the same developmental stage are compared
564,However labeling training data with precstages is very tconsuming even for evelopmental biologists
565,Thus a critical chall is how to build accurate computational models for precdevelopmental stage classification from lim training samples
566,In addition tification and visualization of developmental landmarks are requ to enable biologists to interpret prediction results and calibrate models
567,To address these challs we propose a deep two-step low-shot learning framework to accurately classify ISH images using lim training images
568,Specifically to enable accurate model training on lim training samples we formulate the task as a deep low-shot learning problem and develop a novel two-step learning approach including data-level learning and feature-level learning
569,We use a deep residual network as our base model and achieve improved performance in the precstage prediction task of ISH images
570,Furthermore the deep model can be interpreted by computing saliency maps which consist of p-wcontributions of an image to its prediction result
571,In our task saliency maps are used to assist the tification and visualization of developmental landmarks
572,Our expertal results show that the proposed model can not only make accurate predictions but also yield biologically meaningful interpretations
573,"We anticipate our methods to be easily generalizable to other biological image classification tasks with small training datasets.
"
574,Performance evaluation and application of computation based low-cost homogeneous machlearning model algorithm for image classification: The image classification machlearning model was tra with the intention to predict the category of the input image
575,Whmultiple state-of-the-art ensemble model methodologies are openly available this paper evaluates the performance of a low-cost simple algorithm that would integrate seamlessly into modern production-grade cloud-based applications
576,The homogeneous models tra with the full instead of subsets of data contains varying hyper-parameters and neural layers from one another
577,These models' inferences will be processed by the new algorithm which is loosely based on conditional probability theories
578,"The final output will be evaluated.
"
579,Lepthwet: An Extreme Lightwt Network for Hyperspectral Image Classification: Deep learning methods have shown consable potential for hyperspectral image (HSI) classification which can achieve high accuracy compared with traditional methods
580,However they often need a large number of training samples and have a lot of parameters and high computational overhead
581,To solve these problems this paper proposes a new network archture Lepthwet for HSI classification
582,Based on 3D depthwconvolution Lepthwet can decompose standard convolution into depthwconvolution and pointwconvolution which can achieve high classification performance with minimal parameters
583,Moreover we remove the ReLU layer and Batch Normalization layer in the original 3D depthwconvolution which significantly improves the overfitting phenomenon of the model on small s datasets
584,In addition focal loss is used as the loss function to improve the model's attention on difficult samples and unbalanced data and its training performance is significantly better than that of cross-entropy loss or balanced cross-entropy loss
585,"Expert results on three benchmark hyperspectral datasets show that Lepthwet achieves state-of-the-art performance with a very small number of parameters and low computational cost.
"
586,SatellImage Classification with Deep Learning: Satellimagery is important for many applications including disaster response law enforcement and environmental monitoring
587,These applications requthe manual tification of objects and facilities in the imagery
588,Because thographpanses to be covered areat and the analysts available to conduct the searches are few automation is requ
589,Yet traditional object detection and classification algorithms are too inaccurate and unreliable to solve the problem
590,Deep learning is a family of machlearning algorithms that have shown promfor the automation of such tasks
591,It has achieved success in image understanding by means of convolutional neural networks
592,In this paper we apply them to the problem of object and facility recognition in high-resolution multi-spectral satellimagery
593,We descra deep learning system for classifying objects and facilities from the IARPA Functional Map of the World (fMoW) dataset into 63 different classes
594,The system consists of an ensemble of convolutional neural networks and additional neural networks that integrate satellmetadata with image features
595,It is implemented in Python using the Keras and TensorFlow deep learning libraries and runs on a Linux server with an NVIDIA Titan X graphics card
596,At the tof writing the system is in 2nd place in the fMoW TopCoder competition
597,"Its total accuracy is 83% the F1 score is 0.797 and it classifies 15 of the classes with accuracies of 95% or better.
"
598,SatellImage Classification with Deep Learning: Satellimagery is important for many applications including disaster response law enforcement and environmental monitoring
599,These applications requthe manual tification of objects and facilities in the imagery
600,Because thographpanses to be covered areat and the analysts available to conduct the searches are few automation is requ
601,Yet traditional object detection and classification algorithms are too inaccurate and unreliable to solve the problem
602,Deep learning is a family of machlearning algorithms that have shown promfor the automation of such tasks
603,It has achieved success in image understanding by means of convolutional neural networks
604,In this paper we apply them to the problem of object and facility recognition in high-resolution multi-spectral satellimagery
605,We descra deep learning system for classifying objects and facilities from the IARPA Functional Map of the World (fMoW) dataset into 63 different classes
606,The system consists of an ensemble of convolutional neural networks and additional neural networks that integrate satellmetadata with image features
607,It is implemented in Python using the Keras and TensorFlow deep learning libraries and runs on a Linux server with an NVIDIA Titan X graphics card
608,At the tof writing the system is in 2nd place in the fMoW TopCoder competition
609,"Its total accuracy is 83% the F1 score is 0.797 and it classifies 15 of the classes with accuracies of 95% or better.
"
610,CC-Loss: Channel Correlation Loss For Image Classification: The loss function is a key component in deep learning models
611,A commonly used loss function for classification is the cross entropy loss which is a simple yet effectapplication of information theory for classification problems
612,Based on this loss many other loss functions have been proposed~\emph{} by adding intra-class and inter-class constraints to enhance the discriminatability of the learned features
613,However these loss functions fail to cons the connections between the feature distribution and the model structure
614,Aiming at addressing this problem we propose a channel correlation loss (CC-Loss) that is able to constrain the specific relations between classes and channels as well as maintain the intra-class and the inter-class separability
615,CC-Loss uses a channel attention module to generate channel attention of features for each sample in the training stage
616,Next an Eucln distance matrix is calculated to make the channel attention vectors associated with the same class become tical and to increase the difference between different classes
617,"Finally we obtain a feature embedding with good intra-class compactness and inter-class separability.Expertal results show that two different backbone models tra with the proposed CC-Loss outperform the state-of-the-art loss functions on three image classification datasets.
"
618,Bounding Boxes Are All We Need: Street View Image Classification via Context Encoding of Detected Buildings: Street view images classification aiming at urban land use analysis is difficult because the class labels ( commercial area) are concepts with higher abstract level compared to the ones of general visual tasks ( persons and cars)
619,Therefore classification models using only visual features often fail to achieve satisfactory performance
620,"In this paper a novel approach based on a ""Detector-Encoder-Classifier"" framework is proposed"
621,Instead of using visual features of the whole image dtly as common image-level models based on convolutional neural networks (CNNs) do the proposed framework firstly obtains the bounding boxes of buildings in street view images from a detector
622,"Their contextual information such as the co-occurrence patterns of building classes and their layout are then encoded into metadata by the proposed algorithm ""CODING"" (Context encOding of Detected buildINGs)"
623,Finally these bounding box metadata are classified by a recurrent neural network (RNN)
624,"In addition we made a dual-labeled dataset named ""BEAUTY"" (Building dEtection And Urban funcTional-zone portraYing) of 19070 street view images and 38857 buildings based on the existing BIC GSV [1]"
625,The dataset can be used not only for street view image classification but also for multi-class building detection
626,"Experts on ""BEAUTY"" show that the proposed approach achieves a 12.65% performance improvement on macro-precision and 12% on macro-recall over image-level CNN based models"
627,"Our code and dataset are available at https://github.com/kyle-one/Context-Encoding-of-Detected-Buildings/
"
628,Glance and Focus: a Dynamic Approach to Reducing Spatial Redundancy in Image Classification: The accuracy of deep convolutional neural networks (CNNs) generally improves when fueled with high resolution images
629,However this often comes at a high computational cost and high memory footprint
630,Insp by the fact that not all regions in an image are task-relevant we propose a novel framework that performs efficient image classification by processing a sequence of relaty small inputs which are strategically selected from the original image with reinforcement learning
631,Such a dynamic decision process naturally facilitates adaptinference at test t it can be terminated once the model is sufficiently conft about its prediction and thus avoids further redundant computation
632,Notably our framework is general and flexible as it is compatible with most of the state-of-the-art light-wted CNNs (such as Mobets EfficientNets and RegNets) which can be conveniently deployed as the backbone feature extractor
633,Experts on ImageNet show that our method consistently improves the computational efficiency of a wvariety of deep models
634,For example it further reduces the average latency of the highly efficient Mobet-V3 on an iPhone XS Max by 20% without sacrificing accuracy
635,"Code and pre-tra models are available at https://github.com/blackfeather-wang/GFNet-Pytorch.
"
636,Semantic v segmentation for autonomous driving: We aim to solve semantic v segmentation in autonomous driving namely road detection in real tv using techniques discussed in (Shelhamer  2016a)
637,Whfully convolutional network g good result we show that the speed can be halved whpreserving the accuracy
638,"The test dataset being used is KITTI which consists of real footage from Germany's streets.
"
639,A Centroid Loss for Weakly Superv Semantic Segmentation in Quality Control and Inspection Application: Process automation has enabled a level of accuracy and productivity that goes beyond human ability and one critical area where automation is making a huge difference is the machvision system
640,In this paper a semantic segmentation solution is proposed for two scenes
641,One is the inspection intended for vessel corrosion detection and the other is a detection system used to assist quality control on the surgery toolboxes prepared by the sterilization unit of a hospital
642,In order to reduce the trequ to prepare p-level ground truth this work focuses on the use of weakly superv annotations (scribbles)
643,Moreover our solution integrates a clustering approach into a semantic segmentation network thus reducing the negateffects caused by weakly superv annotations
644,To evaluate the performance of our approach two datasets are collected from the real world (vessels' structure and hospital surgery toolboxes) for both training and validation
645,"According to the result of analysis the approach proposed in this paper produce a satisfactory performance on two datasets through the use of weak annotations.
"
646,Multi-Attention-Network for Semantic Segmentation of High-Resolution Remote Sensing Images: Semantic segmentation of remote sensing images plays an important role in land resource management yield estimation and economic assessment
647,Even though the semantic segmentation of remote sensing images has been promtly improved by convolutional neural networks there are still several limitations conta in standard models
648,First for encoder-decoder archtures lU-Net the utilization of multi-scale features causes overuse of information where similar low-level features are explo at multiple scales for multiple t
649,Second long-range dependencies of feature maps are not sufficiently explored leading to feature representations associated with each semantic class are not optimal
650,Third despthe dot-product attention mechanism has been introduced and harnessed wy in semantic segmentation to model long-range dependencies the high tand space complexities of attention impede the usage of attention in application scenarios with large input
651,In this paper we proposed a Multi-Attention-Network (MANet) to remedy these drawbacks which extracts contextual dependencies by multficient attention mechanisms
652,A novel attention mechanism named kernel attention with lr complexity is proposed to alleviate the high computational demand of attention
653,Based on kernel attention and channel attention we integrate local feature maps extracted by ResNeXt-101 with their corresponding global dependencies and adapty signalinterdependent channel maps
654,"Experts conducted on two remote sensing image datasets captured by variant satell demonstrate that the performance of our MANet transcends the DeepLab V3+ PSPNet FastFCN and other baselalgorithms.
"
655,Domain Adaptation in LiDAR Semantic Segmentation: LiDAR semantic segmentation prov 3D semantic information about the environment an essential cue for intellt systems during their decision making processes
656,Deep neural networks are achieving state-of-the-art results on large public benchmarks on this task
657,Unfortunately finding models that generalwell or adapt to additional domains where data distribution is different remains a major chall
658,This work addresses the problem of unsuperv domain adaptation for LiDAR semantic segmentation models
659,Our approach comb novel s on top of the current state-of-the-art approaches and yields new state-of-the-art results
660,We propose simple but effectstrategies to reduce the domain shift by aligning the data distribution on the input space
661,Bes we propose a learning-based approach that aligns the distribution of the semantic classes of the target domain to the source domain
662,The presented ablation study shows how each part contributes to the final performance
663,"Our strategy is shown to outperform previous approaches for domain adaptation with comparisons run on three different domains.
"
664,Importance-Aware Semantic Segmentation in Self-Driving with Discrete Wasserstein Training: Semantic segmentation (SS) is an important perception manner for self-driving cars and robotics which classifies each p into a pre-determ class
665,The wy-used cross entropy (CE) loss-based deep networks has achieved significant progress w.r.t
666,the mean Intersection-over Union (mIoU)
667,However the cross entropy loss can not take the different importance of each class in an self-driving system into account
668,For example pedestrians in the image should be much more important than the surrounding buildings when make a decisions in the driving so their segmentation results are expected to be as accurate as possible
669,In this paper we propose to incorporate the importance-aware inter-class correlation in a Wasserstein training framework by configuring its ground distance matrix
670,Thound distance matrix can be pre-def following a priori in a specific task and the previous importance-ignored methods can be the particular cases
671,From an optimization perspectwe also extend our ground metric to a lr convex or concave increasing function pre-def ground distance
672,We evaluate our method on CamVid and Cityscapes datasets with different backbones (SegNet ENet FCN and Deeplab) in a plug and play fashion
673,"In our extenssexperts Wasserstein loss demonstrates superior segmentation performance on the predef critical classes for safe-driving.
"
674,Dense Dual-Path Network for Real-tSemantic Segmentation: Semantic segmentation has achieved remarkable results with high computational cost and a large number of parameters
675,However real-world applications requefficient inference speed on embedded dev
676,Most previous works address the chall by reducing depth width and layer capacity of network which leads to poor performance
677,In this paper we introduce a novel Dense Dual-Path Network (DDPNet) for real-tsemantic segmentation under resource constraints
678,We design a light-wt and powerful backbone with dense connectivity to facilitate feature reuse throughout the whole network and the proposed Dual-Path module (DPM) to sufficiently aggregate multi-scale contexts
679,Meanwha simple and effectframework is built with a skip archture utilizing the high-resolution feature maps to refthe segmentation output and an upsampling module leveraging context information from the feature maps to refthe heatmaps
680,The proposed DDPNet shows an obvious advantage in balancing accuracy and speed
681,Specifically on Cityscapes test dataset DDPNet achieves 75.3% mIoU with 52.6 FPS for an input of 1024 X 2048 resolution on a single GTX 1080Ti card
682,"Compared with other state-of-the-art methods DDPNet achieves a significant better accuracy with a comparable speed and fewer parameters.
"
683,HCNet: Hierarchical Context Network for Semantic Segmentation: Global context information is vital in visual understanding problems especially in p-level semantic segmentation
684,The mainstream methods adopt the self-attention mechanism to model global context information
685,However ps belonging to different classes usually have weak feature correlation
686,Modeling thobal p-level correlation matrix indiscriminately tremely redundant in the self-attention mechanism
687,In order to solve the above problem we propose a hierarchical context network to differentially model homogeneous ps with strong correlations and heterogeneous ps with weak correlations
688,Specifically we first propose a multi-scal pre-segmentation module to divthe entfeature map into different classed-based homogeneous regions
689,Withch homogeneous region we design the p context module to capture p-level correlations
690,Subsequently different from the self-attention mechanism that still models weak heterogeneous correlations in a dense p-level manner the region context module is proposed to model sparse region-level dependencies using a unified representation of each region
691,Through aggregating fina p context features and coarsa region context features our proposed network can not only hierarchically model global context information but also harvest multi-granularity representations to more robustly tify multi-scale objects
692,We evaluate our approach on Cityscapes and the ISPRS Vaihingen dataset
693,"Without Bells or Whistles our approach real a mean IoU of 82.8% and overall accuracy of 91.4% on Cityscapes and ISPRS Vaihingen test set achieving state-of-the-art results.
"
694,PseudoSeg: Designing Pseudo Labels for Semantic Segmentation: Recent advances in semi-superv learning (SSL) demonstrate that a combination of consistency regularization and pseudo-labeling can effecty improve image classification accuracy in the low-data reg Compared to classification semantic segmentation tasks requmuch more intenslabeling costs
695,Thus these tasks greatly benefit from data-efficient training methods
696,However structured outputs in segmentation render particular difficulties ( designing pseudo-labeling and augmentation) to apply existing SSL strategies
697,To address this problem we present a simple and novel re-design of pseudo-labeling to generate well-calibrated structured pseudo labels for training with unlabeled or weakly-labeled data
698,Our proposed pseudo-labeling strategy is network structure agnostic to apply in a one-stage consistency training framework
699,We demonstrate the effectess of the proposed pseudo-labeling strategy in both low-data and high-data reg
700,Extensexperts have validated that pseudo labels generated from wy fusing dse sources and strong data augmentation are crucial to consistency training for segmentation
701,"The source code is available at https://github.com/googleinterns/wss.
"
702,Noisy-LSTM: Improving Temporal Awareness for V Semantic Segmentation: Semantic v segmentation is a key chall for various applications
703,This paper presents a new model named Noisy-LSTM which is trainable in an end-to-end manner with convolutional LSTMs (ConvLSTMs) to leverage the temporal coherency in v frames
704,We also present a simple yet effecttraining strategy which replaces a frame in v sequence with no
705,This strategy spoils the temporal coherency in v frames during training and thus makes the temporal links in ConvLSTMs unreliable which may consequently improve feature extraction from v frames as well as serve as a regular to avoid overfitting without requiring extra data annotation or computational costs
706,"Expertal results demonstrate that the proposed model can achieve state-of-the-art performances in both the CityScapes and EndoVis2018 datasets.
"
707,A ComprehensAnalysis of Weakly-Superv Semantic Segmentation in Different Image Domains: Recently proposed methods for weakly-superv semantic segmentation have achieved impressperformance in predicting p classes despbeing tra with only image labels which lack positional information
708,Because image annotations are cheaper and quicker to generate weak supervision is more practical than full supervision for training segmentation algorithms
709,These methods have been predominantly developed to solve the background separation and partial segmentation problems presented by natural scene images and it is unclear whether they can be simply transferred to other domains with different characteristics such as histopathology and satellimages and still perform well
710,This paper evaluates state-of-the-art weakly-superv semantic segmentation methods on natural scene histopathology and satellimage datasets and analyzes how to determwhich method is most suitable for a g dataset
711,Our experts indicate that histopathology and satellimages present a different set of problems for weakly-superv semantic segmentation than natural scene images such as ambiguous boundaries and class co-occurrence
712,Methods perform well for datasets they were developed on but tend to perform poorly on other datasets
713,We present some practical techniques for these methods on unseen datasets and argue that more work is needed for a generalizable approach to weakly-superv semantic segmentation
714,"Our full code implementation is available on GitHub: https://github.com/lyndonchan/wsss-analysis.
"
715,Semantic Editing On Segmentation Map Via Multi-Expansion Loss: Semantiting on segmentation map has been proposed as an intermediate interface for imagneration because it prov flexible and strong assistance in various imagneration tasks
716,This paper aims to improve quality of ed segmentation map conditioned on semantic inputs
717,Even though recent studies apply global and local adversarial losses extensy to generate images for higher image quality we find that they suffer from the misalignment of the boundary area in the mask area
718,To address this we propose MExGAN for semantiting on segmentation map which uses a novel Multi-Expansion (MEx) loss implemented by adversarial losses on MEx areas
719,Each MEx area has the mask area of thneration as the majority and the boundary of original context as the minority
720,To boost convenience and stability of MEx loss we further propose an Approximated MEx (A-MEx) loss
721,Bes in contrast to previous model that builds training data for semantiting on segmentation map with part of the whole image which leads to model performance degradation MExGAN applies the whole image to build the training data
722,"Extensexperts on semantiting on segmentation map and natural image inpainting show competitresults on four datasets.
"
723,Auto Seg-Loss: Searching Metric Surrogates for Semantic Segmentation: We propose a general framework for searching surrogate losses for mainstream semantic segmentation metrics
724,This is in contrast to existing loss functions manually designed for individual metrics
725,The searched surrogate losses can generalwell to other datasets and networks
726,Extensexperts on PASCAL VOC and Cityscapes demonstrate the effectess of our approach
727,"Code shall be released.
"
728,Semi-Superv Semantic Segmentation in Earth Observation: The MiniFrance SuDataset Analysis and Multi-task Network Study: The development of semi-superv learning techniques sential to enhance thneralization capacities of machlearning algorithms
729,Indeed raw image data are abundant whlabels are scarce therefore it is crucial to leverage unlabeled inputs to build better models
730,The availability of large databases have been key for the development of learning algorithms with high level performance
731,Despthe major role of machlearning in Earth Observation to derproducts such as land cover maps datasets in the field are still lther because of modest surface coverage lack of variety of scenes or restricted classes to tify
732,We introduce a novel large-scale dataset for semi-superv semantic segmentation in Earth Observation the MiniFrance su MiniFrance has several unprecedented properties: it is large-scale containing over 2000 very high resolution aerial images accounting for more than 200 billions samples (ps); it is varied covering 16 conurbations in France with various climates different landscapes and urban as well as countrysscenes; and it is challng consing land use classes with high-level semantics
733,Nevertheless the most distinctquality of MiniFrance is being the only dataset in the field especially designed for semi-superv learning: it contains labeled and unlabeled images in its training partition which reproduces a llscenario
734,Along with this dataset we present tools for data representatess analysis in terms of appearance similarity and a thorough study of MiniFrance data demonstrating that it is suitable for learning and general well in a semi-superv setting
735,"Finally we present semi-superv deep archtures based on multi-task learning and the first experts on MiniFrance.
"
736,Encoder-decoder semantic segmentation models for electrolumcence images of thin-film photovoltaic modules: We cons a series of image segmentation methods based on the deep neural networks in order to perform semantic segmentation of electrolumcence (EL) images of thin-film modules
737,We utilthe encoder-decoder deep neural network archture
738,The framework is general such that it can easily be extended to other types of images ( thermography) or solar cell technologies ( crystallsilicon modules)
739,The networks are tra and tested on a sample of images from a database with 6000 EL images of Copper Indium Gallium Den(CIGS) thin film modules
740,"We selected two types of features to extract shunts and so called ""droplets"""
741,The latter feature is often observed in the set of images
742,Several models are tested using various combinations of encoder-decoder layers and a procedure is proposed to select the best model
743,We show exemplary results with the best selected model
744,Furthermore we applied the best model to the full set of 6000 images and demonstrate that the automated segmentation of EL images can reveal many subtle features which cannot be inferred from studying a small sample of images
745,"We believe these features can contribute to process optimization and quality control.
"
746,Robust and Consistent Estimation of Word Embedding for Bangla Language by ftuning Word2Vec Model: Word embedding or vector representation of word holds syntactical and semantic characteristics of word which can be an informatfeature for any machlearning based models of natural language processing
747,There are several deep learning based models for the vectorization of words lword2vec fasttext gensim glove etc
748,In this study we analysis word2vec model for learning word vectors by tuning different hyper-parameters and present the most effectword embedding for Bangla language
749,For testing the performances of different word embeddings induced by ftuning of word2vec model we perform both intrinsic and extrinsaluations
750,We cluster the word vectors to examthe relational similarity of words and also use different word embeddings as the feature of news article classifier for extrinsaluation
751,"From our expert we discover that the word vectors with 300 dsion generated from 'skip-gram' method of word2vec model using the sliding window sof 4 arving the most robust vector representations for Bangla language.
"
752,Fair Embedding Eng A Library for Analyzing and Mitigating Gender Bias in Word Embeddings: Non-contextual word embedding models have been shown to inherit human-lstereotypical biases of gender race and religion from the training corpora
753,To counter this issue a large body of research has emd which aims to mitigate these biases whkeeping the syntactic and semantic utility of embeddings intact
754,This paper descr Fair Embedding Eng(FEE) a library for analysing and mitigating gender bias in word embeddings
755,FEE comb various state of the art techniques for quantifying visualising and mitigating gender bias in word embeddings under a standard abstraction
756,FEE will aid practitioners in fast track analysis of existing debiasing methods on thebedding models
757,"Further it will allow rapid prototyping of new methods by evaluating their performance on a suof standard metrics.
"
758,All Word Embeddings from One Embedding: In neural network-based models for natural language processing (NLP) the largest part of the parameters often consists of word embeddings
759,Conventional models prepare a large embedding matrix whose sdepends on the vocabulary s Therefore storing these models in memory and disk storage is costly
760,In this study to reduce the total number of parameters the embeddings for all words are represented by transforming a shared embedding
761,The proposed method ALONE (all word embeddings from one) constructs the embedding of a word by modifying the shared embedding with a filter vector which is word-specific but non-trainable
762,Then we input the constructed embedding into a feed-forward neural network to increase its expressess
763,Nay the filter vectors occupy the same memory sas the conventional embedding matrix which depends on the vocabulary s To solve this issue we also introduce a memory-efficient filter construction approach
764,We indicate our ALONE can be used as word representation sufficiently through an expert on the reconstruction of pre-tra word embeddings
765,In addition we also conduct experts on NLP application tasks: machtranslation and summarization
766,"We comb ALONE with the current state-of-the-art encoder-decoder model the Transformer and achieved comparable scores on WMT 2014 English-to-German translation and DUC 2004 very short summarization with less parameters.
"
767,PBoS: Probabilistic Bag-of-Subwords for Generalizing Word Embedding: We look into the task of \emph{generalizing} word embeddings: g a set of pre-tra word vectors over a finvocabulary thal is to predict embedding vectors for out-of-vocabulary words \emph{without} extra contextual information
768,We rely solely on the spellings of words and propose a model along with an efficient algorithm that simultaneously models subword segmentation and computes subword-based compositional word embedding
769,We call the model probabilistic bag-of-subwords (PBoS) as it applies bag-of-subwords for all possible segmentations based on their lihood
770,Inspections and affix prediction expert show that PBoS is able to produce meaningful subword segmentations and subword rankings without any source of explicit morphological knowl
771,"Word similarity and POS tagging experts show clear advantages of PBoS over previous subword-level models in the quality of generated word embeddings across languages.
"
772,Discrete Word Embedding for Logical Natural Language Understanding: We propose an unsuperv neural model for learning a discrete embedding of words
773,Unlexisting discrete embeddings our binary embedding supports vector arithmetic operations similar to continuous embeddings
774,Our embedding represents each word as a set of propositional statements describing a transition rule in classical/STRIPS planning formalism
775,"This makes the embedding dtly compatible with symbolic state of the art classical planning solvers.
"
776,CogniFNN: A Fuzzy Neural Network Framework for CognitWord Embedding Evaluation: Word embeddings can reflect the semantic representations and the embedding qualities can be comprehensy evaluated with human natural reading-related cognitdata sources
777,In this paper we proposed the CogniFNN framework which is the first attempt at using fuzzy neural networks to extract non-lr and non-stationary characteristics for evaluations of English word embeddings against the corresponding cognitdatasets
778,In our expert we used 15 human cognitdatasets across three modalities: EEG fMRI and eye-tracking and selected the mean square error and multiple hypotheses testing as metrics to evaluate our proposed CogniFNN framework
779,Compared to the recent pioneer framework our proposed CogniFNN showed smaller prediction errors of both context-independent (GloVe) and context-sensit(BERT) word embeddings and achieved higher significant ratios with randomly generated word embeddings
780,Our findings suggested that the CogniFNN framework could prova more accurate and comprehensevaluation of cognitword embeddings
781,"It will potentially be beneficial to the further word embeddings evaluation on extrinsic natural language processing tasks.
"
